guid,note id,ipa phone,ipa phone strict transcription,ipa phoneme symbol,phonation,place of articulation,manner of articulation,examples,classification,notes,pronunciation sound,example sounds,tags
nw>aU%khlF,1411464625471,"p",,p,Voiceless,Bilabial,Plosive,<b>p</b>rimo<div>am<b>p</b>io</div>,Consonant,,[sound:ipa_it_ph_voiceless_bilabial_plosive.mp3],[sound:ipa_it_ex_primo.mp3][sound:ipa_it_ex_ampio.mp3],ipa_it_consonants
wZMCH/hrde,1411465285299,"b",,b,Voiced,Bilabial,Plosive,<b>b</b>anco<div>ci<b>b</b>o</div>,Consonant,,[sound:ipa_it_ph_voiced_bilabial_plosive.mp3],[sound:ipa_it_ex_banco.mp3][sound:ipa_it_ex_cibo.mp3],ipa_it_consonants
uT;p@AYJI_,1411465649430,"t",t̪,t,Voiceless,Denti-alveolar (laminal) [Dental],Plosive,<b>t</b>ranne<div><div>can<b>t</b>o</div></div>,Consonant,,[sound:ipa_it_ph_voiceless_denti-alveolar_plosive.mp3],[sound:ipa_it_ex_tranne.mp3][sound:ipa_it_ex_canto.mp3],ipa_it_consonants
MO~fzs(f|,1411465683590,"d",d̪,d,Voiced,Denti-alveolar (laminal) [Dental],Plosive,<b>d</b>ove<div>so<b>d</b>o</div>,Consonant,,[sound:ipa_it_ph_voiced_denti-alveolar_plosive.mp3],[sound:ipa_it_ex_dove.mp3][sound:ipa_it_ex_sodo.mp3],ipa_it_consonants
fy{(kWJKi~,1411465687727,"k",,k,Voiceless,Velar,Plosive,<div>a<b>c</b>uto</div><div>an<b>ch</b>e</div>,Consonant,,[sound:ipa_it_ph_voiceless_velar_plosive.mp3],[sound:ipa_it_ex_acuto.mp3][sound:ipa_it_ex_anche.mp3],ipa_it_consonants
"zq,Tr_NZtS",1411465689296,"g",,g,Voiced,Velar,Plosive,a<b>g</b>o<br /><div><b>g</b>hetto</div>,Consonant,,[sound:ipa_it_ph_voiced_velar_plosive.mp3],[sound:ipa_it_ex_ago.mp3][sound:ipa_it_ex_ghetto.mp3],ipa_it_consonants
%1]_ZWa/8,1411465691351,"m",,m n,Voiced,Bilabial,Nasal,<b>m</b>ano<div>ca<b>m</b>po</div>,Consonant,Allophone of /n/ when before /p/ - /b/,[sound:ipa_it_ph_voiced_bilabial_nasal.mp3],[sound:ipa_it_ex_mano.mp3][sound:ipa_it_ex_campo.mp3],ipa_it_consonants
LJt9Lj[y)3,1411465696050,"n",n̺,n,Voiced,Alveolar (apical),Nasal,<b>n</b>a<b>n</b>o<div>pa<b>n</b>e</div>,Consonant,,[sound:ipa_it_ph_voiced_alveolar_nasal.mp3],[sound:ipa_it_ex_nano.mp3][sound:ipa_it_ex_pane.mp3],ipa_it_consonants
Jd_pAx0kQ3,1411465697601,"ɲ",,ɲ,Voiced,Palatal,Nasal,<b>gn</b>occo<div>o<b>gn</b>i</div>,Consonant,,[sound:ipa_it_ph_voiced_palatal_nasal.mp3],[sound:ipa_it_ex_gnocco.mp3][sound:ipa_it_ex_ogni.mp3],ipa_it_consonants
clV<USbX^4,1411465704420,"ŋ",,n,Voiced,Velar,Nasal,fa<b>n</b>go<div>pa<b>n</b>china</div>,Consonant,Allophone of /n/ when before /k/ - /g/,[sound:ipa_it_ph_voiced_velar_nasal.mp3],[sound:ipa_it_ex_fango.mp3][sound:ipa_it_ex_panchina.mp3],"allophone, ipa_it_consonants"
vON=&3~J_m,1411465708690,"ts",t̪͡s̪,ts,Voiceless,Denti-alveolar (laminal) [Dental],Affricative (sibilant),<b>z</b>o<b>zz</b>o<div>can<b>z</b>one</div>,Consonant,,[sound:ipa_it_ph_voiceless_denti-alveolar_sibilant_affricate.mp3],[sound:ipa_it_ex_zozzo.mp3][sound:ipa_it_ex_canzone.mp3],ipa_it_consonants
Fo2*e)#dL=,1411465777521,"dz",d̪͡z̪,dz,Voiced,Denti-alveolar (laminal) [Dental],Affricative (sibilant),<b>z</b>aino<div>me<b>zz</b>o</div>,Consonant,,[sound:ipa_it_ph_voiced_denti-alveolar_sibilant_affricate.mp3],[sound:ipa_it_ex_zaino.mp3][sound:ipa_it_ex_mezzo.mp3],ipa_it_consonants
dsciA|/(NG,1411465785594,"tʃ",t͡ʃ,tʃ,Voiceless,Palateo-alveolar [Postalveolar],Affricative (sibilant),<b>c</b>iao<br /><div>farma<b>c</b>ia</div>,Consonant,,[sound:ipa_it_ph_voiceless_palateo-alveolar_affricate.mp3],[sound:ipa_it_ex_ciao.mp3][sound:ipa_it_ex_farmacia.mp3],ipa_it_consonants
"J,NV9{G[%m",1411465789222,"dʒ",d͡ʒ,dʒ,Voiced,Palateo-alveolar [Postalveolar],Affricative (sibilant),<b>g</b>iungla<div>pa<b>g</b>ina</div>,Consonant,,[sound:ipa_it_ph_voiced_palato-alveolar_affricate.mp3],[sound:ipa_it_ex_giungla.mp3][sound:ipa_it_ex_pagina.mp3],ipa_it_consonants
otAss]2{[P,1411465797342,"f",,f,Voiceless,Labiodental,Fricative,<b>f</b>atto<div>a<b>f</b>ide</div>,Consonant,,[sound:ipa_it_ph_voiceless_labiodental_fricative.mp3],[sound:ipa_it_ex_fatto.mp3][sound:ipa_it_ex_afide.mp3],ipa_it_consonants
hGt)<GPI>q,1411465831741,"v",,v,Voiced,Labiodental,Fricative,<b>v</b>ado<div>po<b>v</b>ero</div>,Consonant,,[sound:ipa_it_ph_voiced_labiodental_fricative.mp3],[sound:ipa_it_ex_vado.mp3][sound:ipa_it_ex_povero.mp3],ipa_it_consonants
x%N(fsJ+I},1411465833592,"s",s̪,s,Voiceless,Denti-alveolar (laminal) [Dental],Fricative (sibilant),<b>s</b>ano<div>pa<b>s</b>to</div>,Consonant,,[sound:ipa_it_ph_voiceless_denti-alveolar_sibilant_fricative.mp3],[sound:ipa_it_ex_sano.mp3][sound:ipa_it_ex_pasto.mp3],ipa_it_consonants
mhewH3%8ZZ,1411465834891,"z",z̪,z,Voiced,Denti-alveolar (laminal) [Dental],Fricative (sibilant),<b>s</b>bavare<div>pre<b>s</b>entare</div>,Consonant,,[sound:ipa_it_ph_voiced_denti-alveolar_sibilant_fricative.mp3],[sound:ipa_it_ex_sbavare.mp3][sound:ipa_it_ex_presentare.mp3],ipa_it_consonants
j<@lE`mU=x,1411465836034,"ʃ",,ʃ,Voiceless,Palateo-alveolar [Postalveolar],Fricative (sibilant),<b>sc</b>ena<div>pe<b>sc</b>i</div>,Consonant,,[sound:ipa_it_ph_voiceless_palateo-alveolar_sibilant_fricative.mp3],[sound:ipa_it_ex_scena.mp3][sound:ipa_it_ex_pesci.mp3],ipa_it_consonants
QHrD/a.6C|,1411465839901,"r",r̺,r,Voiced,Alveolar (apical),Trill,<b>R</b>oma<div>mo<b>r</b>te</div>,Consonant,,[sound:ipa_it_ph_voiced_alveolar_trill.mp3],[sound:ipa_it_ex_roma.mp3][sound:ipa_it_ex_morte.mp3],ipa_it_consonants
yaXy&w>:Xi,1411465845589,"l",l̺,l,Voiced,Alveolar (apical),Lateral approximant,<b>l</b>ato<div>pa<b>l</b>a</div>,Consonant,,[sound:ipa_it_ph_voiced_alveolar_lateral_approximant.mp3],[sound:ipa_it_ex_lato.mp3][sound:ipa_it_ex_pala.mp3],ipa_it_consonants
zE96#[!88^,1411465847199,"ʎ",,ʎ,Voiced,Palatal,Lateral approximant,<b>gl</b>i<div><div>ma<b>gli</b>a</div></div>,Consonant,,[sound:ipa_it_ph_voiced_palatal_lateral_approximant.mp3],[sound:ipa_it_ex_gli.mp3][sound:ipa_it_ex_maglia.mp3],ipa_it_consonants
"j?`y:,XD@Y",1411465850991,"j",,j,Voiced,Palatal,Approximant,sco<b>i</b>attolo<br /><div>p<b>i</b>ù</div>,Consonant,,[sound:ipa_it_ph_voiced_palatal_approximant.mp3],[sound:ipa_it_ex_scoiattolo.mp3][sound:ipa_it_ex_più.mp3],ipa_it_consonants
yze%ifP_og,1411465854629,"w",,w,Voiced,Labial-velar,Approximant,<b>u</b>ovo<div>f<b>u</b>oco</div>,Coarticulated consonant,,[sound:ipa_it_ph_voiced_labio-velar_approximant.mp3],[sound:ipa_it_ex_uovo.mp3][sound:ipa_it_ex_fuoco.mp3],ipa_it_consonants
Q~9H9d.Xc/,1411467316452,"ɱ",,n m,Voiced,Labiodental,Nasal,a<b>n</b>fibio<div>i<b>n</b>volucro</div>,Consonant,Allophone of /n/ and /m/ when before /f/ - /v/,[sound:ipa_it_ph_voiced_labiodental_nasal.mp3],[sound:ipa_it_ex_anfibio.mp3][sound:ipa_it_ex_involucro.mp3],"allophone, ipa_it_consonants"
ijQ;oo]bV+,1411974862085,"ɾ",,r,Voiced,Alveolar,Flap,ca<b>r</b>o<div>pe<b>r</b>o</div>,Consonant,Allophone of /r/,[sound:ipa_it_ph_voiced_alveolar_flap.mp3],[sound:ipa_it_ex_caro.mp3][sound:ipa_it_ex_pero.mp3],"allophone, ipa_it_consonants"
p<a6Lc3<R+,1417373081217,"n",n̠ʲ,n,Voiced,Palatalized laminal postalveolar,Nasal,ga<b>n</b>cio<div>co<b>n</b>scio</div>,Consonant,Allophone of /n/ when before /t͡ʃ/ - /d͡ʒ/ - /ʃ/,[sound:ipa_it_ph_voiced_palatalazied_postalveolar_nasal.mp3],[sound:ipa_it_ex_pancia.mp3][sound:ipa_it_ex_conscio.mp3],"allophone, ipa_it_consonants"
r{03.USX0},1417374457191,l,l̠ʲ,l,Voiced,Palatalized laminal postalveolar,Lateral approximant,ca<b>l</b>cio<div>se<b>l</b>ce</div>,Consonant,Allophone of /n/ when before /t͡ʃ/ - /d͡ʒ/ - /ʃ/,[sound:ipa_it_ph_voiced_palatalized_postalveolar_lateral_approximant.mp3],[sound:ipa_it_ex_calcio.mp3][sound:ipa_it_ex_selce.mp3],"allophone, ipa_it_consonants"
"Oj,_R$;D{T",1417377704912,"n",n̪,n,Voiced,Denti-alveolar (laminal) [Dental],Nasal,ca<b>n</b>to<div>a<b>n</b>sare</div>,Consonant,Allophone of /n/ when before /t/ - /d/ - /t͡s/ - /d͡z/ - /s/ - /z/,[sound:ipa_it_ph_voiced_denti-alveolar_nasal.mp3],[sound:ipa_it_ex_canto.mp3][sound:ipa_it_ex_ansare.mp3],"allophone, ipa_it_consonants"
K|~nw7UBgM,1417377933235,"l",l̪,l,Voiced,Denti-alveolar (laminal) [Dental],Lateral approximant,ca<b>l</b>do<div>fa<b>l</b>so</div>,Consonant,Allophone of /l/ when before /t/ - /d/ - /t͡s/ - /d͡z/ - /s/ - /z/,[sound:ipa_it_ph_voiced_denti-alveolar_lateral_approximant.mp3],[sound:ipa_it_ex_caldo.mp3][sound:ipa_it_ex_falso.mp3],"allophone, ipa_it_consonants"
