guid,note id,ipa phone symbol,ipa phone strict transcription,ipa phoneme symbol,examples,diphthong type,notes,pronunciation sound,example sounds,tags
y~WWT^ZdG{,1414941828836,ai,"ai̯",ai,b<b>ai</b>ta,Falling,,[sound:ipa_it_diphthongs_ai.mp3],[sound:ipa_it_ex_baita.mp3],ipa_it_diphthongs
L~5&mF|H|V,1414941903612,au,"au̯",au,<b>au</b>to,Falling,,[sound:ipa_it_diphthongs_au.mp3],[sound:ipa_it_ex_auto.mp3],ipa_it_diphthongs
"w^,N6xI2XA",1414941927056,ei,"ei̯",ei,pot<b>ei</b>,Falling,,[sound:ipa_it_diphthongs_ei_close-mid.mp3],[sound:ipa_it_ex_potei.mp3],ipa_it_diphthongs
IzZ8]Q%PVE,1414941941629,eu,"eu̯",eu,pl<b>eu</b>rite,Falling,,[sound:ipa_it_diphthongs_eu_close-mid.mp3],[sound:ipa_it_ex_pleurite.mp3],ipa_it_diphthongs
u0.$xY0#UY,1414941957619,ɛi,"ɛi̯",ɛi,l<b>ei</b>,Falling,,[sound:ipa_it_diphthongs_ei_open-mid.mp3],[sound:ipa_it_ex_lei.mp3],ipa_it_diphthongs
Ip$t&apE.$,1414941988860,ɛu,"ɛu̯",ɛu,n<b>eu</b>tro,Falling,,[sound:ipa_it_diphthongs_eu_open-mid.mp3],[sound:ipa_it_ex_neutro.mp3],ipa_it_diphthongs
NGE3oECOwm,1414941999521,ɔi,"ɔi̯",ɔi,p<b>oi</b>,Falling,,[sound:ipa_it_diphthongs_oi_open-mid.mp3],[sound:ipa_it_ex_poi.mp3],ipa_it_diphthongs
zyP}nrf$UQ,1414942019194,oi,"oi̯",oi,n<b>oi</b>,Falling,,[sound:ipa_it_diphthongs_oi_close-mid.mp3],[sound:ipa_it_ex_noi.mp3],ipa_it_diphthongs
NF6n`V$}n4,1414942026746,ui,"ui̯",ui,l<b>ui</b>,Falling,,[sound:ipa_it_diphthongs_ui.mp3],[sound:ipa_it_ex_lui.mp3],ipa_it_diphthongs
O0s9EuavCA,1414942202364,jɛ,,jɛ,p<b>ie</b>no,Rising,,[sound:ipa_it_diphthongs_je_open-mid.mp3],[sound:ipa_it_ex_pieno.mp3],ipa_it_diphthongs
w:)c7VPi=J,1414942245757,wɛ,,wɛ,g<b>ue</b>rra,Rising,,[sound:ipa_it_diphthongs_we_open-mid.mp3],[sound:ipa_it_ex_guerra.mp3],ipa_it_diphthongs
"iP,W(3W*Ta",1414942260408,je,,je,aten<b>ie</b>se,Rising,,[sound:ipa_it_diphthongs_je_close-mid.mp3],[sound:ipa_it_ex_ateniese.mp3],ipa_it_diphthongs
j7yk@3z#(K,1414942268828,we,,we,q<b>ue</b>llo,Rising,,[sound:ipa_it_diphthongs_we_close-mid.mp3],[sound:ipa_it_ex_quello.mp3],ipa_it_diphthongs
HQ|Mr@36yQ,1414942286182,wi,,wi,g<b>ui</b>da,Rising,,[sound:ipa_it_diphthongs_wi.mp3],[sound:ipa_it_ex_guida.mp3],ipa_it_diphthongs
v6[yscP?-0,1414942298037,jɔ,,jɔ,ch<b>io</b>do,Rising,,[sound:ipa_it_diphthongs_jo_open-mid.mp3],[sound:ipa_it_ex_chiodo.mp3],ipa_it_diphthongs
x&A$kLmc{h,1414942312773,wɔ,,wɔ,n<b>uo</b>to,Rising,,[sound:ipa_it_diphthongs_wo_open-mid.mp3],[sound:ipa_it_ex_nuoto.mp3],ipa_it_diphthongs
Qd1y-jgwgW,1414942323949,jo,,jo,f<b>io</b>re,Rising,,[sound:ipa_it_diphthongs_jo_close-mid.mp3],[sound:ipa_it_ex_fiore.mp3],ipa_it_diphthongs
vw-?s#sap;,1414942332895,wo,,wo,liq<b>uo</b>re,Rising,,[sound:ipa_it_diphthongs_wo_close-mid.mp3],[sound:ipa_it_ex_liquore.mp3],ipa_it_diphthongs
jKvOKn$+i7,1414942340937,ju,,ju,p<b>iu</b>ma,Rising,,[sound:ipa_it_diphthongs_ju.mp3],[sound:ipa_it_ex_piuma.mp3],ipa_it_diphthongs
e@He*sb5B3,1414949704855,ja,,ja,p<b>ia</b>no,Rising,,[sound:ipa_it_diphthongs_ja.mp3],[sound:ipa_it_ex_piano.mp3],ipa_it_diphthongs
CoM)}aLfCO,1414949752772,wa,,wa,g<b>ua</b>dare,Rising,,[sound:ipa_it_diphthongs_wa.mp3],[sound:ipa_it_ex_guadare.mp3],ipa_it_diphthongs
